State,giniCoefficient,Pop2020,PopGrowthfrom2018,PopDensity,WhitePerc,BlackPerc,NativePerc,AsianPerc,IslanderPerc,OtherRacePerc,TwoOrMoreRacesPerc,MedianAge,AvgHouseholdIncome,incomeTax,costRank,groceryCost,housingCost,utilitiesCost,transportationCost,miscCost,UnemploymentRate,RealGDP2019,votesTrump_percent2020,votesBiden_percent,VEP Turnout Rate (Total Ballots Counted),HomicideRate2017(per100k),TotalHomicides2017,TrumpApproval_perc,TrumpDisapproval_perc,TrumpnetChangeSinceOffice_perc,BachelorsDegreeHolders2018_perc,Age0-18_perc,Age19-25_perc,Age26-34_perc,Age35-54_perc,Age55-64_perc,Age65+_perc,NrLawEnforcementAgencies,TotalLawEnforcementEmployees_per1000,ACLEDProtestCount,HealthInsuranceCoverageByEmployer,HealthInsuranceCoverageByMedicaid,HealthInsuranceCoverageByMedicare,Uninsured,LifeExpectancyAtBirth_years,HealthSpendingperCapita,ACLEDViolentProtestCount
Massachusetts,48.26,6976600.0,0.0108,894.4359,0.7848,0.0748,0.0021,0.0648,0.0003,0.0417,0.0316,39.4,106627.0,5.05,131.6,113.9,170.3,109.7,116.0,117.6,0.067,519961.6,0.32299999999999995,0.659,0.721,0.026,171.0,0.36,0.62,-0.22,0.524,0.209,0.087,0.132,0.26,0.141,0.171,291.0,3.19,594,0.5589999999999999,0.221,0.131,0.03,80.7,10559.0,26.0
Michigan,46.48,10045000.0,0.0049,177.665,0.7852,0.1381,0.0053,0.0306,0.0003,0.012,0.0285,39.7,75352.0,4.25,88.9,89.3,75.2,97.3,97.4,93.0,0.069,471648.1,0.478,0.506,0.7390000000000001,0.063,588.0,0.43,0.53,-0.18,0.343,0.22699999999999998,0.091,0.11800000000000001,0.24600000000000002,0.142,0.177,620.0,2.61,633,0.509,0.217,0.159,0.058,78.2,8055.0,46.0
Minnesota,44.9,5700670.0,0.0159,71.5922,0.8333,0.0619,0.0107,0.0475,0.0004,0.0177,0.0285,37.9,90600.0,9.85,101.6,106.7,88.3,96.8,103.7,108.6,0.044,341041.4,0.454,0.526,0.8,0.022,122.0,0.46,0.51,-0.08,0.4270000000000001,0.243,0.08199999999999999,0.125,0.252,0.13699999999999998,0.162,402.0,2.83,343,0.578,0.16899999999999998,0.147,0.048,81.0,8871.0,58.0
Mississippi,47.99,2989260.0,0.0009,63.7056,0.5859,0.3767,0.0046,0.0095,0.0002,0.0096,0.0134,37.2,60640.0,5.0,86.1,91.6,70.1,89.1,89.2,91.4,0.064,102656.4,0.5760000000000001,0.411,0.602,0.127,360.0,0.55,0.41,-0.2,0.253,0.254,0.08900000000000001,0.11,0.251,0.131,0.165,66.0,3.62,148,0.422,0.242,0.142,0.129,74.9,7646.0,8.0
Missouri,46.32,6169270.0,0.006999999999999999,89.7453,0.8224,0.1157,0.0044,0.0192,0.0011,0.0117,0.0255,38.5,73145.0,5.4,87.1,96.6,70.6,99.6,87.3,95.7,0.044,287659.3,0.568,0.414,0.6629999999999999,0.113,655.0,0.52,0.44,-0.11,0.34600000000000003,0.23600000000000002,0.085,0.121,0.24600000000000002,0.139,0.172,498.0,3.45,434,0.52,0.14400000000000002,0.16399999999999998,0.101,77.6,8107.0,52.0
Montana,45.87,1086760.0,0.023,7.4668,0.8886,0.0044,0.0646,0.0076,0.0007,0.0058,0.0283,39.8,70959.0,6.9,106.9,105.1,111.6,83.9,125.0,98.4,0.049,47916.3,0.569,0.406,0.731,0.043,42.0,0.52,0.46,-0.18,0.342,0.226,0.085,0.114,0.23600000000000002,0.14300000000000002,0.196,109.0,2.96,116,0.43,0.208,0.181,0.083,78.6,8221.0,6.0
Nebraska,44.2,1952570.0,0.0121,25.4161,0.8749,0.0477,0.0091,0.0232,0.0007,0.0189,0.0255,36.4,77278.0,6.84,90.8,95.5,80.9,90.8,94.3,99.9,0.031,117395.2,0.585,0.394,0.6990000000000001,0.027000000000000003,50.0,0.52,0.46,-0.17,0.393,0.26,0.08800000000000001,0.122,0.24,0.129,0.162,161.0,2.8,126,0.568,0.126,0.142,0.079,79.6,8412.0,15.0
Nevada,45.22,3139660.0,0.0347,28.5993,0.6621,0.0893,0.0123,0.0803,0.0066,0.1014,0.0481,37.9,77319.0,0.0,108.5,108.3,121.8,89.0,123.5,105.7,0.101,153728.6,0.477,0.501,0.654,0.076,221.0,0.43,0.53,-0.21,0.248,0.235,0.083,0.131,0.262,0.126,0.163,52.0,3.23,185,0.495,0.17800000000000002,0.14,0.115,78.4,6714.0,22.0
New Hampshire,43.44,1371250.0,0.0109,153.161,0.9303,0.0153,0.0016,0.0269,0.0003,0.0049,0.0208,42.7,95876.0,5.0,109.7,100.4,110.3,119.5,111.4,116.1,0.038,77240.3,0.455,0.529,0.755,0.012,17.0,0.4,0.58,-0.19,0.4,0.201,0.078,0.115,0.258,0.163,0.18600000000000005,177.0,2.87,93,0.562,0.132,0.177,0.064,80.1,9589.0,6.0
New Jersey,47.82,8936570.0,0.0031,1215.1985,0.6791,0.1347,0.0021,0.0937,0.0004,0.0639,0.026,39.8,110140.0,10.75,125.1,109.5,163.1,101.6,111.1,101.7,0.102,556731.0,0.414,0.573,0.753,0.041,352.0,0.42,0.54,-0.14,0.475,0.23,0.08199999999999999,0.11699999999999999,0.267,0.139,0.165,531.0,5.68,386,0.557,0.166,0.138,0.079,80.5,8859.0,21.0
New Mexico,47.54,2096640.0,0.0006,17.285,0.745,0.0206,0.0955,0.0151,0.0007,0.0909,0.0323,37.5,66565.0,4.9,87.5,100.9,77.7,87.9,91.6,100.1,0.075,98765.7,0.435,0.5429999999999999,0.613,0.085,173.0,0.43,0.54,-0.28,0.253,0.24,0.09,0.11699999999999999,0.23800000000000002,0.132,0.183,49.0,2.97,222,0.366,0.327,0.15,0.098,78.4,7214.0,33.0
New York,51.02,19440500.0,-0.0052,412.5218,0.6379,0.1564,0.0041,0.0831,0.0004,0.0876,0.0305,38.7,97424.0,8.82,139.1,114.8,204.4,108.7,116.6,104.8,0.084,1490678.5,0.411,0.575,0.634,0.03,577.0,0.38,0.58,-0.28,0.45,0.217,0.086,0.134,0.257,0.136,0.16899999999999998,377.0,4.61,1421,0.498,0.257,0.13,0.053,81.0,9778.0,140.0
North Carolina,47.48,10611900.0,0.022,218.271,0.6887,0.2146,0.0119,0.0278,0.0007,0.0303,0.0259,38.6,73753.0,5.25,94.9,96.6,83.1,97.9,93.4,110.6,0.062,511539.9,0.501,0.487,0.715,0.069,679.0,0.51,0.46,-0.13,0.35700000000000004,0.235,0.086,0.11800000000000001,0.26,0.133,0.16899999999999998,517.0,3.25,686,0.463,0.179,0.153,0.114,78.1,7264.0,112.0
North Dakota,45.86,761723.0,0.0022,11.0393,0.8711,0.0272,0.0525,0.0144,0.0005,0.01,0.0243,35.1,84043.0,2.9,98.8,108.1,90.3,93.6,104.3,111.7,0.045,53930.2,0.655,0.319,0.645,0.02,15.0,0.53,0.44,-0.14,0.379,0.245,0.102,0.13699999999999998,0.23199999999999998,0.128,0.156,106.0,3.21,56,0.557,0.122,0.138,0.07400000000000001,79.7,9851.0,5.0
