date,corrected,state
2020-06-15,0.04668571428571429,Massachusetts
2020-06-15,0.039085714285714286,Michigan
2020-06-15,0.04125714285714286,Minnesota
2020-06-15,0.04125714285714286,Mississippi
2020-06-15,0.043428571428571434,Missouri
2020-06-15,0.0456,Montana
2020-06-15,0.043428571428571434,Nebraska
2020-06-15,0.05862857142857143,Nevada
2020-06-15,0.03257142857142857,New Hampshire
2020-06-15,0.04234285714285715,New Jersey
2020-06-15,0.05862857142857143,New Mexico
2020-06-15,0.05102857142857143,New York
2020-06-15,0.04994285714285714,North Carolina
2020-06-15,0.06622857142857143,North Dakota
2020-06-15,0.05862857142857143,Ohio
2020-06-15,0.06188571428571429,Oklahoma
2020-06-15,0.10857142857142858,Oregon
2020-06-15,0.04885714285714286,Pennsylvania
2020-06-15,0.038,Rhode Island
2020-06-15,0.038,South Carolina
2020-06-15,0.021714285714285717,South Dakota
2020-06-15,0.05102857142857143,Tennessee
2020-06-15,0.039085714285714286,Texas
2020-06-15,0.04125714285714286,Utah
2020-06-15,0.05211428571428571,Vermont
2020-06-15,0.0608,Virginia
2020-06-15,0.09771428571428573,Washington
2020-06-15,0.044514285714285715,West Virginia
2020-06-15,0.043428571428571434,Wisconsin
2020-06-15,0.02822857142857143,Wyoming
2020-06-22,0.026742857142857138,Alabama
2020-06-22,0.024,Alaska
2020-06-22,0.0288,Arizona
2020-06-22,0.0192,Arkansas
2020-06-22,0.037028571428571425,California
2020-06-22,0.04251428571428571,Colorado
2020-06-22,0.026742857142857138,Connecticut
2020-06-22,0.039085714285714286,Delaware
2020-06-22,0.02537142857142857,Florida
2020-06-22,0.031542857142857136,Georgia
2020-06-22,0.037714285714285714,Hawaii
2020-06-22,0.04251428571428571,Idaho
2020-06-22,0.03565714285714285,Illinois
2020-06-22,0.032228571428571426,Indiana
2020-06-22,0.04251428571428571,Iowa
2020-06-22,0.02537142857142857,Kansas
2020-06-22,0.03977142857142857,Kentucky
2020-06-22,0.02811428571428571,Louisiana
2020-06-22,0.0192,Maine
2020-06-22,0.04114285714285714,Maryland
2020-06-22,0.03634285714285714,Massachusetts
2020-06-22,0.037028571428571425,Michigan
2020-06-22,0.031542857142857136,Minnesota
